Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Year,Order Month,Order Month Name,Order Quarter,Order Day,Day of Week,Revenue After Discount,Profit Margin %,Discount %,Profit Category
OD00018,Arutra,Beverages,Health Drinks,Bodi,5/13/2015,West,1617,0.19,113.19,Tamil Nadu,2015,5,May,Q2,13,Wednesday,1309.77,7,19,Medium
OD00019,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,8/27/2015,West,1757,0.35,386.54,Tamil Nadu,2015,8,August,Q3,27,Thursday,1142.05,22,35,High
OD00020,Verma,Beverages,Soft Drinks,Kanyakumari,8/27/2015,West,692,0.29,159.16,Tamil Nadu,2015,8,August,Q3,27,Thursday,491.32,23,29,Medium
OD00021,Hafiz,Beverages,Health Drinks,Vellore,8/27/2015,West,522,0.19,208.8,Tamil Nadu,2015,8,August,Q3,27,Thursday,422.82,40,19,Medium
OD00022,Alan,Food Grains,Dals & Pulses,Karur,12/9/2017,Central,948,0.13,47.4,Tamil Nadu,2017,12,December,Q4,9,Saturday,824.76,5,13,Low
OD00023,Haseena,Beverages,Soft Drinks,Krishnagiri,12/9/2017,Central,707,0.34,148.47,Tamil Nadu,2017,12,December,Q4,9,Saturday,466.62,21,34,Medium
OD00024,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,7/16/2018,East,969,0.29,77.52,Tamil Nadu,2018,7,July,Q3,16,Monday,687.99,8,29,Low
OD00025,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,9/25/2016,West,1100,0.11,495,Tamil Nadu,2016,9,September,Q3,25,Sunday,979,45,11,High
OD00026,Krithika,Snacks,Chocolates,Tirunelveli,1/16/2017,West,2022,0.11,202.2,Tamil Nadu,2017,1,January,Q1,16,Monday,1799.58,10,11,Medium
OD00027,Muneer,Snacks,Cookies,Trichy,1/16/2017,West,541,0.12,43.28,Tamil Nadu,2017,1,January,Q1,16,Monday,476.08,8,12,Low
OD00028,Jackson,Bakery,Biscuits,Viluppuram,9/17/2016,East,979,0.22,401.39,Tamil Nadu,2016,9,September,Q3,17,Saturday,763.62,41,22,High
OD00029,Veronica,Beverages,Soft Drinks,Krishnagiri,9/17/2016,East,1988,0.22,874.72,Tamil Nadu,2016,9,September,Q3,17,Saturday,1550.64,44,22,Very High
OD00030,Shah,Oil & Masala,Masalas,Kanyakumari,9/17/2016,East,989,0.17,69.23,Tamil Nadu,2016,9,September,Q3,17,Saturday,820.87,7,17,Low
OD00031,Ramesh,Beverages,Soft Drinks,Dharmapuri,9/17/2016,East,1845,0.24,166.05,Tamil Nadu,2016,9,September,Q3,17,Saturday,1402.2,9,24,Medium
OD00032,Mathew,Snacks,Noodles,Vellore,9/17/2016,East,1400,0.11,420,Tamil Nadu,2016,9,September,Q3,17,Saturday,1246,30,11,High
OD00033,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,9/17/2016,East,2163,0.26,670.53,Tamil Nadu,2016,9,September,Q3,17,Saturday,1600.62,31,26,Very High
OD00034,Anu,Oil & Masala,Masalas,Madurai,9/17/2016,East,1689,0.34,337.8,Tamil Nadu,2016,9,September,Q3,17,Saturday,1114.74,20,34,High
OD00035,Anu,Beverages,Health Drinks,Vellore,10/19/2018,Central,809,0.32,80.9,Tamil Nadu,2018,10,October,Q4,19,Friday,550.12,10,32,Low
OD00036,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,12/8/2017,Central,1265,0.22,569.25,Tamil Nadu,2017,12,December,Q4,8,Friday,986.7,45,22,High
OD00037,James,Beverages,Soft Drinks,Salem,12/8/2017,Central,934,0.35,56.04,Tamil Nadu,2017,12,December,Q4,8,Friday,607.1,6,35,Low
OD00038,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,12/27/2016,Central,1354,0.16,446.82,Tamil Nadu,2016,12,December,Q4,27,Tuesday,1137.36,33,16,High
OD00039,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,12/27/2016,Central,1751,0.19,280.16,Tamil Nadu,2016,12,December,Q4,27,Tuesday,1418.31,16,19,Medium
OD00040,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,12/27/2016,Central,2045,0.23,879.35,Tamil Nadu,2016,12,December,Q4,27,Tuesday,1574.65,43,23,Very High
OD00041,Malik,Beverages,Health Drinks,Namakkal,12/27/2016,Central,660,0.19,92.4,Tamil Nadu,2016,12,December,Q4,27,Tuesday,534.6,14,19,Low
OD00042,Arutra,Beverages,Soft Drinks,Salem,9/10/2018,Central,1868,0.18,616.44,Tamil Nadu,2018,9,September,Q3,10,Monday,1531.76,33,18,Very High
OD00043,Sharon,Snacks,Cookies,Bodi,7/17/2017,West,1017,0.25,345.78,Tamil Nadu,2017,7,July,Q3,17,Monday,762.75,34,25,High
OD00044,Mathew,Snacks,Cookies,Dharmapuri,9/19/2018,South,2311,0.2,1039.95,Tamil Nadu,2018,9,September,Q3,19,Wednesday,1848.8,45,20,Very High
OD00045,Amrish,Bakery,Biscuits,Krishnagiri,3/11/2017,Central,1663,0.17,731.72,Tamil Nadu,2017,3,March,Q1,11,Saturday,1380.29,44,17,Very High
OD00046,Vince,"Eggs, Meat & Fish",Eggs,Madurai,3/11/2017,Central,1420,0.19,355,Tamil Nadu,2017,3,March,Q1,11,Saturday,1150.2,25,19,High
OD00047,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,10/20/2015,Central,1415,0.31,509.4,Tamil Nadu,2015,10,October,Q4,20,Tuesday,976.35,36,31,High
OD00048,Mathew,Snacks,Noodles,Chennai,6/20/2017,East,1488,0.3,610.08,Tamil Nadu,2017,6,June,Q2,20,Tuesday,1041.6,41,30,Very High
OD00049,Ridhesh,Snacks,Noodles,Pudukottai,6/20/2017,East,726,0.18,43.56,Tamil Nadu,2017,6,June,Q2,20,Tuesday,595.32,6,18,Low
OD00050,Amrish,Bakery,Cakes,Ooty,4/18/2016,Central,1259,0.15,415.47,Tamil Nadu,2016,4,April,Q2,18,Monday,1070.15,33,15,High
OD00051,Esther,Beverages,Soft Drinks,Salem,4/18/2016,Central,902,0.29,153.34,Tamil Nadu,2016,4,April,Q2,18,Monday,640.42,17,29,Medium
OD00052,Shah,Beverages,Soft Drinks,Salem,4/18/2016,Central,2306,0.3,553.44,Tamil Nadu,2016,4,April,Q2,18,Monday,1614.2,24,30,High
OD00053,Sudha,Bakery,Cakes,Theni,4/18/2016,Central,1417,0.19,99.19,Tamil Nadu,2016,4,April,Q2,18,Monday,1147.77,7,19,Low
OD00054,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,12/11/2017,East,627,0.33,181.83,Tamil Nadu,2017,12,December,Q4,11,Monday,420.09,29,33,Medium
OD00055,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,12/11/2017,East,760,0.28,60.8,Tamil Nadu,2017,12,December,Q4,11,Monday,547.2,8,28,Low
OD00056,Muneer,Food Grains,Atta & Flour,Salem,6/17/2017,East,2350,0.15,611,Tamil Nadu,2017,6,June,Q2,17,Saturday,1997.5,26,15,Very High
OD00057,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,6/17/2017,East,1179,0.34,271.17,Tamil Nadu,2017,6,June,Q2,17,Saturday,778.14,23,34,Medium
OD00058,Veena,Food Grains,Dals & Pulses,Trichy,6/17/2017,East,1624,0.35,194.88,Tamil Nadu,2017,6,June,Q2,17,Saturday,1055.6,12,35,Medium
OD00059,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,6/17/2017,East,1316,0.35,421.12,Tamil Nadu,2017,6,June,Q2,17,Saturday,855.4,32,35,High
OD00060,Shree,Beverages,Health Drinks,Coimbatore,6/17/2017,East,2121,0.12,678.72,Tamil Nadu,2017,6,June,Q2,17,Saturday,1866.48,32,12,Very High
OD00061,Roshan,Oil & Masala,Masalas,Virudhunagar,6/17/2017,East,1428,0.28,271.32,Tamil Nadu,2017,6,June,Q2,17,Saturday,1028.16,19,28,Medium
OD00062,Willams,Snacks,Noodles,Perambalur,6/17/2017,East,706,0.33,289.46,Tamil Nadu,2017,6,June,Q2,17,Saturday,473.02,41,33,Medium
OD00063,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,11/24/2016,West,921,0.25,184.2,Tamil Nadu,2016,11,November,Q4,24,Thursday,690.75,20,25,Medium
OD00064,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,11/24/2016,West,1741,0.31,661.58,Tamil Nadu,2016,11,November,Q4,24,Thursday,1201.29,38,31,Very High
OD00065,Willams,"Eggs, Meat & Fish",Eggs,Madurai,11/24/2016,West,607,0.22,200.31,Tamil Nadu,2016,11,November,Q4,24,Thursday,473.46,33,22,Medium
OD00066,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,11/24/2016,West,1824,0.25,766.08,Tamil Nadu,2016,11,November,Q4,24,Thursday,1368,42,25,Very High
OD00067,Vinne,Food Grains,Atta & Flour,Madurai,4/30/2016,Central,1368,0.11,383.04,Tamil Nadu,2016,4,April,Q2,30,Saturday,1217.52,28,11,High
OD00068,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,12/5/2015,West,1160,0.16,510.4,Tamil Nadu,2015,12,December,Q4,5,Saturday,974.4,44,16,High
OD00069,Ramesh,Food Grains,Atta & Flour,Viluppuram,12/5/2015,West,1294,0.23,77.64,Tamil Nadu,2015,12,December,Q4,5,Saturday,996.38,6,23,Low
OD00070,Peer,Oil & Masala,Masalas,Ooty,6/4/2017,South,1232,0.14,554.4,Tamil Nadu,2017,6,June,Q2,4,Sunday,1059.52,45,14,High
OD00071,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,9/18/2017,East,994,0.31,357.84,Tamil Nadu,2017,9,September,Q3,18,Monday,685.86,36,31,High
OD00072,Yusuf,Snacks,Noodles,Kanyakumari,9/14/2018,Central,2468,0.18,1011.88,Tamil Nadu,2018,9,September,Q3,14,Friday,2023.76,41,18,Very High
OD00073,Alan,Snacks,Cookies,Theni,4/26/2016,South,721,0.27,100.94,Tamil Nadu,2016,4,April,Q2,26,Tuesday,526.33,14,27,Medium
OD00074,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,4/26/2016,South,2375,0.21,475,Tamil Nadu,2016,4,April,Q2,26,Tuesday,1876.25,20,21,High
OD00075,Arvind,Beverages,Soft Drinks,Vellore,4/26/2016,South,1965,0.13,117.9,Tamil Nadu,2016,4,April,Q2,26,Tuesday,1709.55,6,13,Medium
OD00076,Veronica,Beverages,Soft Drinks,Bodi,12/9/2018,Central,1489,0.12,193.57,Tamil Nadu,2018,12,December,Q4,9,Sunday,1310.32,13,12,Medium
OD00077,Arvind,Fruits & Veggies,Organic Fruits,Ooty,12/9/2018,Central,1250,0.27,75,Tamil Nadu,2018,12,December,Q4,9,Sunday,912.5,6,27,Low
OD00078,Anu,Snacks,Noodles,Coimbatore,12/9/2018,Central,1358,0.31,488.88,Tamil Nadu,2018,12,December,Q4,9,Sunday,937.02,36,31,High
OD00079,Haseena,Snacks,Cookies,Vellore,11/26/2015,Central,719,0.2,64.71,Tamil Nadu,2015,11,November,Q4,26,Thursday,575.2,9,20,Low
OD00080,Veena,Fruits & Veggies,Organic Fruits,Chennai,6/12/2017,South,2303,0.26,621.81,Tamil Nadu,2017,6,June,Q2,12,Monday,1704.22,27,26,Very High
OD00081,Kumar,Beverages,Health Drinks,Kanyakumari,6/12/2017,South,2027,0.34,912.15,Tamil Nadu,2017,6,June,Q2,12,Monday,1337.82,45,34,Very High
OD00082,Amy,Food Grains,Atta & Flour,Bodi,10/12/2015,West,1739,0.29,765.16,Tamil Nadu,2015,10,October,Q4,12,Monday,1234.69,44,29,Very High
OD00083,Komal,Oil & Masala,Spices,Cumbum,10/12/2015,West,990,0.26,227.7,Tamil Nadu,2015,10,October,Q4,12,Monday,732.6,23,26,Medium
OD00084,Ravi,Beverages,Soft Drinks,Dharmapuri,9/3/2016,South,2354,0.11,682.66,Tamil Nadu,2016,9,September,Q3,3,Saturday,2095.06,29,11,Very High
OD00085,Amy,Fruits & Veggies,Organic Fruits,Bodi,11/13/2018,Central,1044,0.1,344.52,Tamil Nadu,2018,11,November,Q4,13,Tuesday,939.6,33,10,High
OD00086,Willams,Oil & Masala,Spices,Dindigul,5/28/2018,South,2129,0.25,659.99,Tamil Nadu,2018,5,May,Q2,28,Monday,1596.75,31,25,Very High
OD00087,Sharon,Food Grains,Rice,Theni,10/26/2018,Central,1759,0.1,615.65,Tamil Nadu,2018,10,October,Q4,26,Friday,1583.1,35,10,Very High
OD00088,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,10/26/2018,Central,1663,0.26,665.2,Tamil Nadu,2018,10,October,Q4,26,Friday,1230.62,40,26,Very High
OD00089,Sheeba,Bakery,Breads & Buns,Perambalur,4/5/2017,Central,2111,0.21,189.99,Tamil Nadu,2017,4,April,Q2,5,Wednesday,1667.69,9,21,Medium
OD00090,Krithika,Food Grains,Dals & Pulses,Madurai,9/17/2017,West,1878,0.12,450.72,Tamil Nadu,2017,9,September,Q3,17,Sunday,1652.64,24,12,High
OD00091,Willams,"Eggs, Meat & Fish",Chicken,Ooty,9/17/2017,West,769,0.34,46.14,Tamil Nadu,2017,9,September,Q3,17,Sunday,507.54,6,34,Low
OD00092,Roshan,Beverages,Health Drinks,Virudhunagar,9/17/2017,West,1241,0.14,409.53,Tamil Nadu,2017,9,September,Q3,17,Sunday,1067.26,33,14,High
OD00093,Ravi,Food Grains,Atta & Flour,Madurai,1/31/2016,Central,2128,0.14,383.04,Tamil Nadu,2016,1,January,Q1,31,Sunday,1830.08,18,14,High
OD00094,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,1/31/2016,Central,2257,0.33,270.84,Tamil Nadu,2016,1,January,Q1,31,Sunday,1512.19,12,33,Medium
OD00095,Mathew,Snacks,Chocolates,Bodi,1/31/2016,Central,1285,0.28,218.45,Tamil Nadu,2016,1,January,Q1,31,Sunday,925.2,17,28,Medium
OD00096,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,11/6/2018,West,1230,0.13,442.8,Tamil Nadu,2018,11,November,Q4,6,Tuesday,1070.1,36,13,High
OD00097,Sudha,Food Grains,Atta & Flour,Ooty,11/9/2018,East,1856,0.21,723.84,Tamil Nadu,2018,11,November,Q4,9,Friday,1466.24,39,21,Very High
OD00098,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,6/17/2018,West,545,0.31,125.35,Tamil Nadu,2018,6,June,Q2,17,Sunday,376.05,23,31,Medium
OD00099,Vince,Snacks,Chocolates,Dharmapuri,9/6/2017,Central,2301,0.28,391.17,Tamil Nadu,2017,9,September,Q3,6,Wednesday,1656.72,17,28,High
OD00100,Krithika,Oil & Masala,Spices,Chennai,8/29/2017,Central,1475,0.26,531,Tamil Nadu,2017,8,August,Q3,29,Tuesday,1091.5,36,26,High
OD00101,Adavan,Bakery,Cakes,Coimbatore,8/29/2017,Central,2118,0.35,910.74,Tamil Nadu,2017,8,August,Q3,29,Tuesday,1376.7,43,35,Very High
OD00102,Roshan,Beverages,Soft Drinks,Coimbatore,8/29/2017,Central,1527,0.17,671.88,Tamil Nadu,2017,8,August,Q3,29,Tuesday,1267.41,44,17,Very High
OD00103,Vinne,Snacks,Chocolates,Nagercoil,12/1/2017,Central,567,0.18,175.77,Tamil Nadu,2017,12,December,Q4,1,Friday,464.94,31,18,Medium
OD00104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,11/13/2016,West,969,0.27,184.11,Tamil Nadu,2016,11,November,Q4,13,Sunday,707.37,19,27,Medium
OD00105,Suresh,Food Grains,Dals & Pulses,Karur,11/13/2016,West,2300,0.14,1035,Tamil Nadu,2016,11,November,Q4,13,Sunday,1978,45,14,Very High
OD00106,Komal,Oil & Masala,Masalas,Kanyakumari,11/13/2016,West,1575,0.33,78.75,Tamil Nadu,2016,11,November,Q4,13,Sunday,1055.25,5,33,Low
OD00107,Sundar,Beverages,Health Drinks,Cumbum,11/23/2018,South,540,0.12,108,Tamil Nadu,2018,11,November,Q4,23,Friday,475.2,20,12,Medium
OD00108,Willams,Snacks,Cookies,Tirunelveli,11/23/2018,South,536,0.34,176.88,Tamil Nadu,2018,11,November,Q4,23,Friday,353.76,33,34,Medium
OD00109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,11/23/2018,South,556,0.21,155.68,Tamil Nadu,2018,11,November,Q4,23,Friday,439.24,28,21,Medium
OD00110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,10/15/2016,Central,1179,0.16,271.17,Tamil Nadu,2016,10,October,Q4,15,Saturday,990.36,23,16,Medium
OD00111,Sundar,Food Grains,Dals & Pulses,Namakkal,12/25/2018,East,1487,0.12,505.58,Tamil Nadu,2018,12,December,Q4,25,Tuesday,1308.56,34,12,High
OD00112,Arvind,Bakery,Breads & Buns,Pudukottai,11/3/2017,Central,2220,0.1,111,Tamil Nadu,2017,11,November,Q4,3,Friday,1998,5,10,Medium
OD00113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,11/3/2017,Central,2155,0.3,581.85,Tamil Nadu,2017,11,November,Q4,3,Friday,1508.5,27,30,High
OD00114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,8/25/2015,East,1154,0.1,69.24,Tamil Nadu,2015,8,August,Q3,25,Tuesday,1038.6,6,10,Low
OD00115,Muneer,Snacks,Noodles,Salem,8/25/2015,East,2420,0.11,242,Tamil Nadu,2015,8,August,Q3,25,Tuesday,2153.8,10,11,Medium
OD00116,Rumaiza,Snacks,Chocolates,Karur,8/25/2015,East,1305,0.24,287.1,Tamil Nadu,2015,8,August,Q3,25,Tuesday,991.8,22,24,Medium
OD00117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,8/25/2015,East,927,0.2,157.59,Tamil Nadu,2015,8,August,Q3,25,Tuesday,741.6,17,20,Medium
OD00118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,3/2/2016,West,983,0.11,186.77,Tamil Nadu,2016,3,March,Q1,2,Wednesday,874.87,19,11,Medium
OD00119,Akash,Food Grains,Rice,Chennai,4/5/2016,South,903,0.1,90.3,Tamil Nadu,2016,4,April,Q2,5,Tuesday,812.7,10,10,Low
OD00120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,6/12/2017,East,1235,0.12,74.1,Tamil Nadu,2017,6,June,Q2,12,Monday,1086.8,6,12,Low
OD00121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,6/12/2017,East,1243,0.24,174.02,Tamil Nadu,2017,6,June,Q2,12,Monday,944.68,14,24,Medium
OD00122,Harish,Bakery,Cakes,Krishnagiri,6/12/2017,East,649,0.34,201.19,Tamil Nadu,2017,6,June,Q2,12,Monday,428.34,31,34,Medium
OD00123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,6/12/2017,East,2354,0.11,188.32,Tamil Nadu,2017,6,June,Q2,12,Monday,2095.06,8,11,Medium
OD00124,Anu,Beverages,Soft Drinks,Cumbum,6/12/2017,East,1443,0.27,187.59,Tamil Nadu,2017,6,June,Q2,12,Monday,1053.39,13,27,Medium
OD00125,Sudeep,Bakery,Breads & Buns,Madurai,12/26/2015,Central,975,0.26,390,Tamil Nadu,2015,12,December,Q4,26,Saturday,721.5,40,26,High
OD00126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,9/20/2015,Central,889,0.19,71.12,Tamil Nadu,2015,9,September,Q3,20,Sunday,720.09,8,19,Low
OD00127,Shah,"Eggs, Meat & Fish",Mutton,Karur,11/5/2018,West,2352,0.17,870.24,Tamil Nadu,2018,11,November,Q4,5,Monday,1952.16,37,17,Very High
OD00128,Harish,Oil & Masala,Spices,Tirunelveli,11/5/2018,West,1293,0.23,336.18,Tamil Nadu,2018,11,November,Q4,5,Monday,995.61,26,23,High
OD00129,Sharon,Food Grains,Rice,Bodi,11/6/2017,West,1458,0.29,597.78,Tamil Nadu,2017,11,November,Q4,6,Monday,1035.18,41,29,High
OD00130,Peer,Food Grains,Atta & Flour,Coimbatore,11/6/2017,West,1801,0.22,126.07,Tamil Nadu,2017,11,November,Q4,6,Monday,1404.78,7,22,Medium
OD00131,Haseena,Snacks,Chocolates,Tenkasi,2/2/2018,East,1261,0.29,416.13,Tamil Nadu,2018,2,February,Q1,2,Friday,895.31,33,29,High
OD00132,Sundar,Beverages,Soft Drinks,Nagercoil,2/2/2018,East,2112,0.28,105.6,Tamil Nadu,2018,2,February,Q1,2,Friday,1520.64,5,28,Medium
OD00133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2/2/2018,East,640,0.24,140.8,Tamil Nadu,2018,2,February,Q1,2,Friday,486.4,22,24,Medium
OD00134,Shah,Bakery,Cakes,Tenkasi,10/13/2017,West,1658,0.12,315.02,Tamil Nadu,2017,10,October,Q4,13,Friday,1459.04,19,12,High
OD00135,Harish,Beverages,Health Drinks,Ramanadhapuram,10/13/2017,West,2373,0.18,664.44,Tamil Nadu,2017,10,October,Q4,13,Friday,1945.86,28,18,Very High
OD00136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,10/13/2017,West,1430,0.19,514.8,Tamil Nadu,2017,10,October,Q4,13,Friday,1158.3,36,19,High
OD00137,Sundar,Oil & Masala,Spices,Viluppuram,10/13/2017,West,1873,0.3,674.28,Tamil Nadu,2017,10,October,Q4,13,Friday,1311.1,36,30,Very High
OD00138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,10/13/2017,West,867,0.14,329.46,Tamil Nadu,2017,10,October,Q4,13,Friday,745.62,38,14,High
OD00139,Malik,Snacks,Noodles,Theni,10/13/2017,West,1101,0.19,484.44,Tamil Nadu,2017,10,October,Q4,13,Friday,891.81,44,19,High
OD00140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,10/13/2017,West,1088,0.28,424.32,Tamil Nadu,2017,10,October,Q4,13,Friday,783.36,39,28,High
OD00141,Veena,Bakery,Biscuits,Perambalur,9/5/2017,East,866,0.32,381.04,Tamil Nadu,2017,9,September,Q3,5,Tuesday,588.88,44,32,High
OD00142,Aditi,Oil & Masala,Masalas,Tirunelveli,9/18/2018,West,2483,0.14,223.47,Tamil Nadu,2018,9,September,Q3,18,Tuesday,2135.38,9,14,Medium
OD00143,Surya,Food Grains,Atta & Flour,Kanyakumari,9/18/2018,West,1335,0.11,293.7,Tamil Nadu,2018,9,September,Q3,18,Tuesday,1188.15,22,11,Medium
OD00144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,9/18/2018,West,765,0.24,252.45,Tamil Nadu,2018,9,September,Q3,18,Tuesday,581.4,33,24,Medium
OD00145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,12/22/2018,Central,2403,0.2,624.78,Tamil Nadu,2018,12,December,Q4,22,Saturday,1922.4,26,20,Very High
OD00146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,9/7/2016,West,1551,0.13,573.87,Tamil Nadu,2016,9,September,Q3,7,Wednesday,1349.37,37,13,High
OD00147,Ridhesh,Food Grains,Organic Staples,Theni,10/22/2015,East,1564,0.27,187.68,Tamil Nadu,2015,10,October,Q4,22,Thursday,1141.72,12,27,Medium
OD00148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,12/5/2017,Central,1125,0.33,292.5,Tamil Nadu,2017,12,December,Q4,5,Tuesday,753.75,26,33,Medium
OD00149,Veronica,Beverages,Health Drinks,Tenkasi,12/5/2017,Central,768,0.1,184.32,Tamil Nadu,2017,12,December,Q4,5,Tuesday,691.2,24,10,Medium
OD00150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,12/5/2017,Central,1985,0.26,734.45,Tamil Nadu,2017,12,December,Q4,5,Tuesday,1468.9,37,26,Very High
OD00151,Muneer,Food Grains,Rice,Bodi,12/5/2017,Central,2287,0.13,1029.15,Tamil Nadu,2017,12,December,Q4,5,Tuesday,1989.69,45,13,Very High
OD00152,Jackson,Snacks,Chocolates,Pudukottai,3/13/2017,West,1016,0.34,335.28,Tamil Nadu,2017,3,March,Q1,13,Monday,670.56,33,34,High
OD00153,Amy,Snacks,Cookies,Namakkal,3/13/2017,West,852,0.26,76.68,Tamil Nadu,2017,3,March,Q1,13,Monday,630.48,9,26,Low
OD00154,Ram,Food Grains,Organic Staples,Ramanadhapuram,5/31/2016,West,1233,0.28,234.27,Tamil Nadu,2016,5,May,Q2,31,Tuesday,887.76,19,28,Medium
